id,title,docUrl,releaseLevel,category,iconUrl,description,version,serviceName
"2","Cloud Vision API","cloud.google.com/vision/","GA","AI and Machine Learning","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Integrates Google Vision features, including image labeling, face, logo, and landmark detection, optical character recognition (OCR), and detection of explicit content, into applications.","v1","vision.googleapis.com"
"3","Cloud Speech-to-Text API","cloud.google.com/speech-to-text/","GA","AI and Machine Learning","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Converts audio to text by applying powerful neural network models.","v1","speech.googleapis.com"
"4","Cloud Translation API","cloud.google.com/translate/","GA","AI and Machine Learning","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Integrates text translation into your website or application.","v2","translate.googleapis.com"
"5","Cloud Natural Language API","cloud.google.com/natural-language/","GA","AI and Machine Learning","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Provides natural language understanding technologies, such as sentiment analysis, entity recognition, entity sentiment analysis, and other text annotations, to developers.","v1","language.googleapis.com"
"8","Dialogflow API","cloud.google.com/dialogflow-enterprise/","GA","AI and Machine Learning","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Builds conversational interfaces (for example, chatbots, and voice-powered apps and devices).","v2","dialogflow.googleapis.com"
"9","Cloud Spanner API","cloud.google.com/spanner/","GA","Databases","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Cloud Spanner is a managed, mission-critical, globally consistent and scalable relational database service.","v1","spanner.googleapis.com"
"10","Cloud Data Loss Prevention (DLP) API","cloud.google.com/dlp/","GA","Security","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Provides methods for detection, risk analysis, and de-identification of privacy-sensitive fragments in text, images, and Google Cloud Platform storage repositories.","v2","dlp.googleapis.com"
"12","Cloud Tasks API","cloud.google.com/tasks/","GA","Developer Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages the execution of large numbers of distributed requests.","v2","cloudtasks.googleapis.com"
"13","Cloud Storage JSON API","cloud.google.com/storage/","GA","Storage","https://www.google.com/images/icons/product/cloud_storage-32.png","Stores and retrieves potentially large, immutable data objects.","v1","storage.googleapis.com"
"14","Cloud Datastore API","cloud.google.com/datastore/","GA","Databases","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Accesses the schemaless NoSQL database to provide fully managed, robust, scalable storage for your application.","v1","datastore.googleapis.com"
"16","Cloud Monitoring API","cloud.google.com/monitoring/","GA","Management Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages your Cloud Monitoring data and configurations. Most projects must be associated with a Workspace, with a few exceptions as noted on the individual method pages. The table entries below are presented in alphabetical order, not in order of common use. For explanations of the concepts found in the table entries, read the https://cloud.google.com/monitoring/docs.","v3","monitoring.googleapis.com"
"17","Cloud Logging API","cloud.google.com/logging/","GA","Management Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Writes log entries and manages your Cloud Logging configuration. The table entries below are presented in alphabetical order, not in order of common use. For explanations of the concepts found in the table entries, read the documentation at https://cloud.google.com/logging/docs.","v2","logging.googleapis.com"
"19","Cloud Pub/Sub API","cloud.google.com/pubsub/","GA","Data Analytics","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Provides reliable, many-to-many, asynchronous messaging between applications.","v1","pubsub.googleapis.com"
"20","Cloud Key Management Service (KMS) API","cloud.google.com/kms/","GA","Security","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages keys and performs cryptographic operations in a central cloud service, for direct use by other cloud resources and applications.","v1","cloudkms.googleapis.com"
"21","Cloud Composer API","cloud.google.com/composer/","BETA","Data Analytics","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages Apache Airflow environments on Google Cloud Platform.","v1","composer.googleapis.com"
"33","Cloud Bigtable Admin API","cloud.google.com/bigtable/","GA","Databases","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Administer your Cloud Bigtable tables and instances.","v2","bigtableadmin.googleapis.com"
"35","Google Cloud Memorystore for Redis API","cloud.google.com/memorystore/docs/redis/","GA","Databases","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Creates and manages Redis instances on the Google Cloud Platform.","v1","redis.googleapis.com"
"46","Cloud Billing API","cloud.google.com/billing/","GA","Other","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Allows developers to manage billing for their Google Cloud Platform projects programmatically.","v1","cloudbilling.googleapis.com"
"48","Compute Engine API","cloud.google.com/compute/","GA","Compute","https://www.google.com/images/icons/product/compute_engine-32.png","Creates and runs virtual machines on Google Cloud Platform.","v1","compute.googleapis.com"
"49","Cloud Build API","cloud.google.com/cloud-build/","GA","Developer Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Creates and manages builds on Google Cloud Platform.","v1","cloudbuild.googleapis.com"
"50","Dataflow API","cloud.google.com/dataflow/","GA","Data Analytics","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages Google Cloud Dataflow projects on Google Cloud Platform.","v1b3","dataflow.googleapis.com"
"54","Cloud Dataproc API","cloud.google.com/dataproc/","GA","Data Analytics","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages Hadoop-based clusters and jobs on Google Cloud Platform.","v1","dataproc.googleapis.com"
"55","Cloud Debugger API","cloud.google.com/debugger/","GA","Management Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Examines the call stack and variables of a running application without stopping or slowing it down.","v2","clouddebugger.googleapis.com"
"56","Google Cloud DNS API","cloud.google.com/dns/","GA","Networking","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Configures and serves authoritative DNS records.","v1","dns.googleapis.com"
"58","Error Reporting API","cloud.google.com/error-reporting/","GA","Management Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Groups and counts similar errors from cloud services and applications, reports new errors, and provides access to error groups and their associated errors.","v1beta1","clouderrorreporting.googleapis.com"
"60","Identity and Access Management (IAM) API","cloud.google.com/iam/","GA","Identity and Access","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Manages identity and access control for Google Cloud Platform resources, including the creation of service accounts, which you can use to authenticate to Google and make API calls.","v1","iam.googleapis.com"
"62","Cloud Talent Solution API","cloud.google.com/solutions/talent-solution/","BETA","Other","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Cloud Talent Solution provides the capability to create, read, update, and delete job postings, as well as search jobs based on keywords and filters.","v3","jobs.googleapis.com"
"63","Kubernetes Engine API","cloud.google.com/kubernetes-engine/","GA","Containers","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Builds and manages container-based applications, powered by the open source Kubernetes technology.","v1","container.googleapis.com"
"70","Cloud Resource Manager API","cloud.google.com/resource-manager/","GA","Identity and Access","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Creates, reads, and updates metadata for Google Cloud Platform resource containers.","v2","cloudresourcemanager.googleapis.com"
"74","Cloud Trace API","cloud.google.com/trace/","GA","Management Tools","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","Sends application trace data to Cloud Trace for viewing. Trace data is collected for all App Engine applications by default. Trace data from other applications can be provided using this API. This library is used to interact with the Cloud Trace API directly. If you are looking to instrument your application for Cloud Trace, we recommend using OpenCensus.","v2","cloudtrace.googleapis.com"
"83","Cloud Filestore API","cloud.google.com/filestore/","GA","Storage","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","The Cloud Filestore API is used for creating and managing cloud file servers.","v1","file.googleapis.com"
"89","Cloud OS Login API","cloud.google.com/compute/docs/oslogin/","GA","Other","https://www.gstatic.com/images/branding/product/1x/googleg_32dp.png","You can use OS Login to manage access to your VM instances using IAM roles. For more information, read [OS Login](/compute/docs/oslogin/).","v1","oslogin.googleapis.com"
